timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1100000,0,473977420,85455939,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,1.9903148,0,nan,nan,3,0,10
1700000,0,473977420,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.02,3.3746693,0,nan,nan,3,0,10
1900000,0,473977420,85455939,488090,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.6912184,0,nan,nan,3,0,10
2100000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
2300000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
2500000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
2700000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
2900000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
3100000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
3300000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
3500000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
3700000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
3900000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
4108000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
4308000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
4508000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
4708000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
4908000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
5108000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
5308000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
5508000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
5708000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
6008000,0,473979218,85457268,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,3,0,10
6208000,0,473977420,85455939,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,3.1809435,0,nan,nan,3,0,10
6408000,0,473977420,85455940,488090,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.8924932,0,nan,nan,3,0,10
6608000,0,473977419,85455939,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.03,-0.01,0.0,5.8210254,0,nan,nan,3,0,10
6808000,0,473977420,85455940,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,0.99533194,0,nan,nan,3,0,10
7008000,0,473977420,85455940,488093,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,-0.03,5.393083,0,nan,nan,3,0,10
7208000,0,473977420,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,-0.01,6.048784,0,nan,nan,3,0,10
7408000,0,473977420,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,6.205859,0,nan,nan,3,0,10
7608000,0,473977419,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,-0.02,3.030326,0,nan,nan,3,0,10
7808000,0,473977419,85455939,488090,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,0.0,0.04,2.8856423,0,nan,nan,3,0,10
8008000,0,473977419,85455939,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.04,5.789785,0,nan,nan,3,0,10
8208000,0,473977419,85455940,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,2.8907037,0,nan,nan,3,0,10
8412000,0,473977420,85455939,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.7266476,0,nan,nan,3,0,10
8612000,0,473977419,85455939,488090,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.6946206,0,nan,nan,3,0,10
8812000,0,473977419,85455940,488096,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.9869988,0,nan,nan,3,0,10
9012000,0,473977419,85455940,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.01,4.3453927,0,nan,nan,3,0,10
9212000,0,473977419,85455940,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.3308628,0,nan,nan,3,0,10
9412000,0,473977420,85455939,488096,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,-0.01,4.8478584,0,nan,nan,3,0,10
9612000,0,473977420,85455939,488079,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.07,1.7014713,0,nan,nan,3,0,10
9812000,0,473977420,85455940,488083,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.03,0.0,1.4962267,0,nan,nan,3,0,10
10012000,0,473977420,85455940,488082,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.6092346,0,nan,nan,3,0,10
10212000,0,473977420,85455939,488072,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.2681189,0,nan,nan,3,0,10
10412000,0,473977419,85455939,488085,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.4729703,0,nan,nan,3,0,10
10612000,0,473977420,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.51979,0,nan,nan,3,0,10
10812000,0,473977419,85455940,488085,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.3897648,0,nan,nan,3,0,10
11012000,0,473977419,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.050834,0,nan,nan,3,0,10
11312000,0,473977420,85455939,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.04,3.4685652,0,nan,nan,3,0,10
11512000,0,473977419,85455939,488099,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.9199824,0,nan,nan,3,0,10
11712000,0,473977419,85455940,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,2.5425208,0,nan,nan,3,0,10
11912000,0,473977419,85455939,488103,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.827962,0,nan,nan,3,0,10
12112000,0,473977419,85455940,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.0675445,0,nan,nan,3,0,10
12312000,0,473977419,85455940,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.03,0.6113708,0,nan,nan,3,0,10
12512000,0,473977419,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.7890843,0,nan,nan,3,0,10
12712000,0,473977419,85455939,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,2.7816238,0,nan,nan,3,0,10
12912000,0,473977420,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.8937593,0,nan,nan,3,0,10
13112000,0,473977419,85455940,488089,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.01,-0.01,0.84645975,0,nan,nan,3,0,10
13312000,0,473977419,85455940,488093,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.1421099,0,nan,nan,3,0,10
13512000,0,473977419,85455940,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9002143,0,nan,nan,3,0,10
13712000,0,473977419,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.02,5.5559173,0,nan,nan,3,0,10
13912000,0,473977420,85455939,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.02,0.02,5.415946,0,nan,nan,3,0,10
14112000,0,473977420,85455939,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.4856248,0,nan,nan,3,0,10
14312000,0,473977420,85455939,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.9239526,0,nan,nan,3,0,10
14512000,0,473977419,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0756147,0,nan,nan,3,0,10
14712000,0,473977420,85455940,488089,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0.10384403,0,nan,nan,3,0,10
14912000,0,473977420,85455939,488093,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.03,0.01,-0.01,0.42235723,0,nan,nan,3,0,10
15912000,0,473977419,85455939,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.03,0.04,1.4625428,0,nan,nan,3,0,10
16116000,0,473977419,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.02,5.2492723,0,nan,nan,3,0,10
16320000,0,473977419,85455940,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.7966774,0,nan,nan,3,0,10
16520000,0,473977419,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.79358,0,nan,nan,3,0,10
