timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
3200000,1100000,47.397742,8.5455939,1.276229e-05,-5.215432e-05,-0.13923185,-1.8931374e-08,-6.1277255e-08,0.0,-0.00017275175,9.6737014e-05,-0.1799511,-0.22366756,-4.732843e-06,-1.5319312e-05,0.0,0.00044194754,0.0021382247,4.7497448e-05,1.0051754,0.0,0.1,0.1799511,0.6490768,1.1028032,0.92590356,0.7932098,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3208000,1100000,47.397742,8.5455939,9.529542e-06,-4.975924e-05,-0.14246412,-1.8931374e-08,-6.1277255e-08,0.0,-0.00018397407,9.755404e-05,-0.18258134,-0.22707771,-4.732843e-06,-1.5319312e-05,0.0,-0.0017651272,-0.0013048488,4.842877e-05,1.0028734,0.0,0.1,0.18258134,0.65564585,1.1073439,0.92653865,0.7934776,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3216000,1100000,47.397742,8.5455939,6.2869476e-06,-4.725999e-05,-0.14570056,-1.8931374e-08,-6.1277255e-08,0.0,-0.0001775167,0.00012605672,-0.18513386,-0.23037264,-4.732843e-06,-1.5319312e-05,0.0,0.0015367826,0.0038910592,5.215406e-05,1.0005544,0.0,0.1,0.18513386,0.66223407,1.1119505,0.92718214,0.79416966,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3224000,1100000,47.397742,8.5455939,3.0972005e-06,-4.4559078e-05,-0.14894041,-1.8931374e-08,-6.1277255e-08,0.0,-0.00018424295,0.0001341302,-0.18761095,-0.23355561,-4.732843e-06,-1.5319312e-05,0.0,-0.0017788801,-0.0012597374,4.842877e-05,0.9983038,0.0,0.1,0.18761095,0.66884124,1.1165761,0.92783433,0.7948669,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3232000,1100000,47.397742,8.5455939,-1.5482658e-07,-4.1836865e-05,-0.15218298,-1.8931374e-08,-6.1277255e-08,0.0,-0.00019098217,0.00014209673,-0.19001475,-0.23662974,-4.732843e-06,-1.5319312e-05,0.0,0.00042636335,0.0021732985,4.842877e-05,0.9961197,0.0,0.1,0.19001475,0.6754669,1.1212206,0.9284952,0.7955695,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3240000,1100000,47.397742,8.5455939,-3.1778497e-06,-3.909282e-05,-0.15542762,-1.8931374e-08,-6.1277255e-08,0.0,-0.00019732182,0.00015020248,-0.19234736,-0.23959807,-4.732843e-06,-1.5319312e-05,0.0,-0.0018072873,-0.0012241625,4.9360093e-05,0.99400073,0.0,0.1,0.19234736,0.49092406,1.1258837,0.7279622,0.7962772,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3248000,1100000,47.397742,8.5455939,-6.280822e-06,-3.6351903e-05,-0.15867367,-1.8931374e-08,-6.1277255e-08,0.0,-0.00021269446,0.00014455606,-0.19461082,-0.24246356,-4.732843e-06,-1.5319312e-05,0.0,-0.0018057065,-0.0012336444,4.842877e-05,0.9919454,0.0,0.1,0.19461082,0.4957238,1.1305654,0.72871006,0.7969903,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3256000,1100000,47.397742,8.5455939,-9.427409e-06,-3.3557906e-05,-0.1619204,-1.8931374e-08,-6.1277255e-08,0.0,-0.00021008594,0.0001663729,-0.19680709,-0.24522907,-4.732843e-06,-1.5319312e-05,0.0,0.0015428981,0.0039014646,5.0291415e-05,0.98995215,0.0,0.1,0.19680709,0.50054663,1.1352656,0.72946876,0.7977085,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3264000,1100000,47.397742,8.5455939,-1.2529766e-05,-3.0572337e-05,-0.165385,-1.8931374e-08,-6.1277255e-08,0.0,-0.00021643525,0.00017480749,-0.19945323,-0.24867944,-4.732843e-06,-1.5319312e-05,0.0,-0.0018205204,-0.0011890123,5.1222738e-05,0.9880214,0.0,0.1,0.19945323,0.5053921,1.1399273,0.7302385,0.79797804,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
3272000,1100000,47.397742,8.5455939,-1.5738173e-05,-2.7627135e-05,-0.16885085,-1.8931374e-08,-6.1277255e-08,0.0,-0.00023631024,0.00016279182,-0.2020211,-0.2520118,-4.732843e-06,-1.5319312e-05,0.0,-0.0018277827,-0.0011952547,4.9360093e-05,0.98603994,0.0,0.1,0.2020211,0.5102597,1.1446619,0.73101884,0.7987003,inf,inf,inf,inf,1,1,1,1,1,0,1,1,1,1,0
