timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1160000,-0.00039151026,0.00012192205,6.019382e-08,1.0000045,-0.00019336418,-5.8770827e-05,-1.8136739e-06,0.0,0.0,0.0,0.0,0
1868000,-0.00039142664,0.00012206524,6.4311344e-08,1.0000045,-0.00031264263,-2.7406066e-05,-1.8086597e-06,0.0,0.0,0.0,0.0,0
1872000,-0.00039142618,0.00012206605,6.4334664e-08,1.0000045,-0.00031331656,-2.7228636e-05,-1.8086299e-06,0.0,0.0,0.0,0.0,0
1880000,-0.00039142522,0.000122067664,6.4381304e-08,1.0000045,-0.0003146644,-2.6873771e-05,-1.8085703e-06,0.0,0.0,0.0,0.0,0
1888000,-0.00039142428,0.00012206929,6.4427944e-08,1.0000045,-0.0003160122,-2.6518896e-05,-1.8085107e-06,0.0,0.0,0.0,0.0,0
1892000,-0.0003914238,0.000122070094,6.4451264e-08,1.0000045,-0.0003166861,-2.6341453e-05,-1.8084808e-06,0.0,0.0,0.0,0.0,0
1900000,-0.00039142286,0.00012207171,6.449791e-08,1.0000045,-0.00031803394,-2.5986561e-05,-1.8084211e-06,0.0,0.0,0.0,0.0,0
1904000,-0.00039142236,0.00012207252,6.452124e-08,1.0000045,-0.00031870787,-2.5809113e-05,-1.8083912e-06,0.0,0.0,0.0,0.0,0
1908000,-0.0003914219,0.00012207332,6.454456e-08,1.0000045,-0.00031938177,-2.563166e-05,-1.8083612e-06,0.0,0.0,0.0,0.0,0
1912000,-0.00039142143,0.00012207414,6.4567885e-08,1.0000045,-0.0003200557,-2.5454206e-05,-1.8083313e-06,0.0,0.0,0.0,0.0,0
1916000,-0.00039142097,0.00012207494,6.459121e-08,1.0000045,-0.0003207296,-2.527675e-05,-1.8083014e-06,0.0,0.0,0.0,0.0,0
1920000,-0.00039142047,0.00012207575,6.461454e-08,1.0000045,-0.00032140352,-2.5099289e-05,-1.8082713e-06,0.0,0.0,0.0,0.0,0
1928000,-0.00039141954,0.00012207737,6.4661194e-08,1.0000045,-0.00032275135,-2.4744362e-05,-1.8082113e-06,0.0,0.0,0.0,0.0,0
1932000,-0.00039141905,0.00012207819,6.468452e-08,1.0000045,-0.00032342528,-2.4566894e-05,-1.8081813e-06,0.0,0.0,0.0,0.0,0
1936000,-0.00039141858,0.00012207899,6.470785e-08,1.0000045,-0.00032409918,-2.4389425e-05,-1.8081513e-06,0.0,0.0,0.0,0.0,0
1940000,-0.0003914181,0.0001220798,6.473118e-08,1.0000045,-0.0003247731,-2.4211953e-05,-1.8081213e-06,0.0,0.0,0.0,0.0,0
1944000,-0.00039141762,0.00012208062,6.475451e-08,1.0000045,-0.00032544704,-2.4034478e-05,-1.8080912e-06,0.0,0.0,0.0,0.0,0
1952000,-0.0003914167,0.00012208223,6.480117e-08,1.0000045,-0.00032679486,-2.367952e-05,-1.808031e-06,0.0,0.0,0.0,0.0,0
1956000,-0.0003914162,0.00012208303,6.4824505e-08,1.0000045,-0.0003274688,-2.3502038e-05,-1.8080009e-06,0.0,0.0,0.0,0.0,0
1960000,-0.00039141573,0.00012208385,6.484784e-08,1.0000045,-0.0003281427,-2.3324552e-05,-1.8079708e-06,0.0,0.0,0.0,0.0,0
1964000,-0.00039141526,0.00012208465,6.487117e-08,1.0000045,-0.00032881662,-2.3147066e-05,-1.8079406e-06,0.0,0.0,0.0,0.0,0
1968000,-0.00039141477,0.00012208546,6.489451e-08,1.0000045,-0.00032949055,-2.2969574e-05,-1.8079104e-06,0.0,0.0,0.0,0.0,0
1976000,-0.00039141384,0.00012208708,6.4941176e-08,1.0000045,-0.00033083837,-2.2614588e-05,-1.80785e-06,0.0,0.0,0.0,0.0,0
1980000,-0.00039141334,0.00012208789,6.496451e-08,1.0000045,-0.0003315123,-2.2437089e-05,-1.8078198e-06,0.0,0.0,0.0,0.0,0
1984000,-0.00039141288,0.00012208869,6.4987844e-08,1.0000045,-0.0003321862,-2.2259588e-05,-1.8077895e-06,0.0,0.0,0.0,0.0,0
1988000,-0.0003914124,0.0001220895,6.5011186e-08,1.0000045,-0.00033286013,-2.2082086e-05,-1.8077593e-06,0.0,0.0,0.0,0.0,0
1996000,-0.00039141145,0.00012209112,6.505786e-08,1.0000045,-0.000334208,-2.1727072e-05,-1.8076988e-06,0.0,0.0,0.0,0.0,0
2000000,-0.00039141098,0.00012209194,6.50812e-08,0.9241928,0.0,0.0,0.38254654,0.0,0.0,0.0,0.0,0
