timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
28025840,1572935905000081,-339387241,188803024,133389,164700,0.192,2.5226684,0.72300005,1.197,0.65999997,1.06,94,99,0.016,-0.015000001,0.002,0.004,0.0,0,nan,0.0,3,1,16
28221435,1572935905200081,-339387240,188803024,133414,164725,0.192,2.5226705,0.721,1.192,0.65999997,1.06,94,121,0.014,0.011000001,-0.009000001,0.023000002,0.0,0,nan,0.0,3,1,16
28425393,1572935905400082,-339387240,188803023,133435,164746,0.172,2.5226722,0.71800005,1.187,0.65999997,1.06,94,121,0.030000001,-0.030000001,0.0,0.010000001,0.0,0,nan,0.0,3,1,16
28624328,1572935905600082,-339387240,188803023,133468,164779,0.120000005,2.5226738,0.716,1.1830001,0.65999997,1.06,94,121,0.015000001,0.013,0.009000001,0.012,0.0,0,nan,0.0,3,1,16
28824332,1572935905800082,-339387239,188803023,133479,164791,0.23300001,2.5226765,0.71300006,1.177,0.65999997,1.06,94,121,0.030000001,0.024,0.017,-0.072000004,0.0,0,nan,0.0,3,1,16
29224268,1572935906200083,-339387238,188803021,133542,164853,0.2,2.5226805,0.707,1.167,0.65999997,1.06,94,121,0.021000002,-0.001,-0.021000002,0.022000002,0.0,0,nan,0.0,3,1,16
29424265,1572935906400083,-339387238,188803021,133572,164884,0.201,2.5226827,0.70400006,1.1620001,0.65999997,1.06,94,121,0.029000001,-0.004,0.029000001,-0.035,0.0,0,nan,0.0,3,1,16
29824452,1572935906800083,-339387237,188803019,133601,164913,0.23200001,2.5226872,0.697,1.151,0.65999997,1.06,94,121,0.0050000004,-0.003,-0.004,0.051000003,0.0,0,nan,0.0,3,1,16
30024289,1572935907000084,-339387237,188803018,133599,164911,0.13900001,2.5226889,0.694,1.1450001,0.65999997,1.06,94,121,0.020000001,-0.010000001,0.017,0.002,0.0,0,nan,0.0,3,1,16
30224328,1572935907200084,-339387237,188803016,133602,164913,0.124000005,2.5226903,0.69000006,1.139,0.65999997,1.06,94,122,0.021000002,-0.017,-0.012,-0.018000001,0.0,0,nan,0.0,3,1,16
30424510,1572935907400084,-339387237,188803015,133610,164921,0.23,2.5226924,0.68700004,1.133,0.65999997,1.06,94,122,0.024,-0.023000002,-0.004,0.048,0.0,0,nan,0.0,3,1,16
30625284,1572935907600084,-339387238,188803014,133607,164918,0.155,2.522694,0.684,1.128,0.65999997,1.06,94,122,0.065000005,-0.044000003,0.048,0.015000001,0.0,0,nan,0.0,3,1,16
30824313,1572935907800084,-339387239,188803013,133614,164925,0.21200001,2.5226967,0.68,1.1220001,0.68,1.06,94,122,0.007,-0.007,0.0,0.009000001,0.0,0,nan,0.0,3,1,15
31022460,1572935908000085,-339387239,188803011,133596,164907,0.149,2.5226984,0.67700005,1.1170001,0.65999997,1.06,94,122,0.040000003,-0.008,-0.039,-0.037,0.0,0,nan,0.0,3,1,16
31224424,1572935908200085,-339387239,188803009,133601,164912,0.231,2.5227008,0.674,1.1120001,0.65999997,1.06,94,122,0.025,0.022000002,0.011000001,-0.089,0.0,0,nan,0.0,3,1,16
31424287,1572935908400085,-339387238,188803007,133634,164946,0.16700001,2.5227027,0.671,1.107,0.65999997,1.06,94,122,0.019000001,0.018000001,0.008,0.032,0.0,0,nan,0.0,3,1,16
31624266,1572935908600085,-339387237,188803007,133665,164976,0.155,2.5227044,0.669,1.1040001,0.68,1.06,94,122,0.010000001,0.009000001,-0.004,-0.002,0.0,0,nan,0.0,3,1,15
31824323,1572935908800086,-339387236,188803006,133680,164992,0.16600001,2.522706,0.66700006,1.1010001,0.65999997,1.06,94,122,0.002,-0.002,0.001,-0.013,0.0,0,nan,0.0,3,1,16
32024267,1572935909000086,-339387236,188803005,133698,165009,0.18100001,2.5227082,0.665,1.098,0.65999997,1.06,94,122,0.034,0.034,-0.002,-0.015000001,0.0,0,nan,0.0,3,1,16
32224319,1572935909200086,-339387235,188803004,133720,165031,0.15900001,2.5227098,0.66300005,1.095,0.65999997,1.06,94,121,0.039,-0.021000002,0.033,-0.017,0.0,0,nan,0.0,3,1,16
32423297,1572935909400086,-339387235,188803003,133752,165063,0.22700001,2.522712,0.661,1.0910001,0.65999997,1.06,94,121,0.023000002,0.022000002,-0.004,-0.033,0.0,0,nan,0.0,3,1,16
32624342,1572935909600087,-339387234,188803002,133765,165077,0.112,2.5227134,0.65900004,1.087,0.68,1.06,94,121,0.030000001,-0.010000001,-0.028,-0.001,0.0,0,nan,0.0,3,1,15
32827540,1572935909800087,-339387234,188803000,133772,165083,0.19700001,2.5227156,0.657,1.0830001,0.65999997,1.06,94,121,0.020000001,-0.006,0.020000001,0.020000001,0.0,0,nan,0.0,3,1,16
33024265,1572935910000087,-339387233,188802999,133803,165114,0.163,2.5227172,0.65500003,1.08,0.65999997,1.06,94,121,0.013,-0.013,0.003,-0.002,0.0,0,nan,0.0,3,1,16
33224297,1572935910200087,-339387233,188802998,133808,165120,0.163,2.522719,0.65400004,1.077,0.65999997,1.06,94,97,0.026,-0.025,0.008,-0.020000001,0.0,0,nan,0.0,3,1,16
33424268,1572935910400088,-339387233,188802996,133827,165138,0.22600001,2.5227215,0.652,1.075,0.65999997,1.06,94,97,0.019000001,0.013,0.013,-0.020000001,0.0,0,nan,0.0,3,1,16
33624257,1572935910600088,-339387232,188802995,133839,165150,0.238,2.5227242,0.651,1.0710001,0.65999997,1.06,94,97,0.040000003,0.036000002,0.017,-0.069000006,0.0,0,nan,0.0,3,1,16
33824268,1572935910800088,-339387232,188802994,133846,165158,0.164,2.522726,0.64900005,1.067,0.65999997,1.06,94,97,0.025,-0.024,0.007,-0.019000001,0.0,0,nan,0.0,3,1,16
34024812,1572935911000088,-339387232,188802992,133839,165150,0.24000001,2.5227287,0.647,1.0630001,0.65999997,1.06,94,97,0.033,-0.030000001,-0.012,0.089,0.0,0,nan,0.0,3,1,16
34225187,1572935911200088,-339387231,188802990,133844,165156,0.18800001,2.5227308,0.646,1.0600001,0.65999997,1.06,94,98,0.017,0.016,0.003,0.032,0.0,0,nan,0.0,3,1,16
