timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1192000,0.00028404067,-8.886417e-05,3.3538257e-08,0.70711,0.00012881443,0.00014443419,0.70711,0.0,0.0,0.0,0.0,0
1836000,0.00028400615,-8.890472e-05,3.563089e-08,0.70711,0.00018631344,0.0001863188,0.70711,0.0,0.0,0.0,0.0,0
1844000,0.0002840065,8.890525e-05,-3.569726e-08,0.70711,0.00018686372,0.00018683975,0.70711,0.0,0.0,0.0,0.0,0
1848000,0.00028438983,-8.7831584e-05,3.5459802e-08,0.70711,0.00018698095,0.00018720549,0.70711,0.0,0.0,0.0,0.0,0
1852000,0.00028400536,-8.8905676e-05,3.5751007e-08,0.70711,0.00018738386,0.00018738533,0.70711,0.0,0.0,0.0,0.0,0
1856000,0.00028439017,8.783209e-05,-3.5527535e-08,0.70711,0.00018774894,0.00018749964,0.70711,0.0,0.0,0.0,0.0,0
1860000,0.00028400574,8.89062e-05,-3.581997e-08,0.70711,0.00018793525,0.00018790648,0.70711,0.0,0.0,0.0,0.0,0
1864000,0.00028438904,-8.783252e-05,3.557802e-08,0.70711,0.00018805315,0.00018827236,0.70711,0.0,0.0,0.0,0.0,0
1868000,0.00028438927,8.7838765e-05,-3.5542815e-08,0.70711,0.00018845515,0.00018845071,0.70711,0.0,0.0,0.0,0.0,0
1872000,0.00028438843,-8.783884e-05,3.5647204e-08,0.70711,0.00018857213,0.00018881533,0.70711,0.0,0.0,0.0,0.0,0
1876000,0.0002840042,-8.890714e-05,3.5939124e-08,0.70711,0.00018897817,0.00018900038,0.70711,0.0,0.0,0.0,0.0,0
1880000,0.000284389,8.7833505e-05,-3.570022e-08,0.70711,0.0001893439,0.00018911764,0.70711,0.0,0.0,0.0,0.0,0
1884000,0.00028400455,8.890763e-05,-3.5994265e-08,0.70711,0.0001895237,0.0001895205,0.70711,0.0,0.0,0.0,0.0,0
1888000,0.0002843879,-8.783392e-05,3.5766583e-08,0.70711,0.00018963794,0.00018988558,0.70711,0.0,0.0,0.0,0.0,0
1892000,0.0002840034,-8.890805e-05,3.606187e-08,0.70711,0.00019004484,0.00019007198,0.70711,0.0,0.0,0.0,0.0,0
1896000,0.00028438822,8.783444e-05,-3.58184e-08,0.70711,0.00019041073,0.00019018994,0.70711,0.0,0.0,0.0,0.0,0
1900000,0.000284387,-8.784059e-05,3.5781923e-08,0.70711,0.00019058897,0.00019059186,0.70711,0.0,0.0,0.0,0.0,0
1904000,0.0002843876,8.784076e-05,-3.5887574e-08,0.70711,0.00019095368,0.00019070898,0.70711,0.0,0.0,0.0,0.0,0
1908000,0.00028400338,8.890909e-05,-3.6182307e-08,0.70711,0.00019125573,0.00019148065,0.70711,0.0,0.0,0.0,0.0,0
1916000,0.00028400225,-8.890948e-05,3.6236276e-08,0.70711,0.00019165872,0.00019166061,0.70711,0.0,0.0,0.0,0.0,0
1920000,0.0002843871,8.783584e-05,-3.6006853e-08,0.70711,0.00019202381,0.00019177498,0.70711,0.0,0.0,0.0,0.0,0
1924000,0.00028400263,8.8910005e-05,-3.6304964e-08,0.70711,0.00019220998,0.00019218175,0.70711,0.0,0.0,0.0,0.0,0
