timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
1092000,0,473977420,85455939,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,1.9903148,0,nan,nan,3,0,10
1692000,0,473977420,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.02,3.3746693,0,nan,nan,3,0,10
1892000,0,473977420,85455939,488090,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,2.6912184,0,nan,nan,3,0,10
2092000,0,473977419,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.5358024,0,nan,nan,3,0,10
2292000,0,473977420,85455939,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0117376,0,nan,nan,3,0,10
2492000,0,473977419,85455939,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.01,5.7159595,0,nan,nan,3,0,10
2692000,0,473977420,85455940,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.02,0.0,2.1641445,0,nan,nan,3,0,10
2892000,0,473977420,85455939,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.1532795,0,nan,nan,3,0,10
3092000,0,473977420,85455939,488089,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,5.964138,0,nan,nan,3,0,10
3292000,0,473977419,85455940,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,3.9246063,0,nan,nan,3,0,10
3492000,0,473977419,85455940,488089,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.8138672,0,nan,nan,3,0,10
3692000,0,473977419,85455940,488098,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.823599,0,nan,nan,3,0,10
3892000,0,473977419,85455939,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.03,4.2415485,0,nan,nan,3,0,10
4092000,0,473977419,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.04,5.703917,0,nan,nan,3,0,10
